player_name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw
Oscar Bobb,d,75.0,25.0,4.7,0,0.0,0.0,23
Kevin De Bruyne,a,100.0,100.0,9.4,1,6.2,6.2,23
Jérémy Doku,i,0.0,0.0,6.2,0,0.0,0.0,23
Ederson Santana de Moraes,a,100.0,100.0,5.3,8,3.8,3.8,23
Phil Foden,a,100.0,100.0,9.3,7,12.2,12.2,23
Jack Grealish,a,100.0,100.0,6.4,0,0.5,0.5,23
Joško Gvardiol,a,100.0,100.0,5.9,8,4.2,4.2,23
Erling Haaland,a,100.0,100.0,14.7,12,8.2,8.2,23
Julián Álvarez,u,0.0,0.0,7.0,0,0.0,0.0,23
João Cavaco Cancelo,u,0.0,0.0,5.3,0,0.0,0.0,23
Mateo Kovačić,a,100.0,100.0,5.4,1,4.8,4.8,23
Rico Lewis,a,100.0,100.0,4.4,0,0.8,0.8,23
Matheus Luiz Nunes,a,100.0,100.0,4.9,5,2.2,2.2,23
James McAtee,a,,,4.6,0,2.0,2.0,23
Stefan Ortega Moreno,a,,,5.2,0,1.2,1.2,23
Rodrigo 'Rodri' Hernandez,i,0.0,0.0,6.2,0,0.0,0.0,23
Rúben Gato Alves Dias,i,0.0,0.0,5.4,0,0.0,0.0,23
John Stones,a,100.0,100.0,5.3,1,0.2,0.2,23
Kyle Walker,u,0.0,100.0,5.1,0,0.0,0.0,23
Sávio 'Savinho' Moreira de Oliveira,a,100.0,100.0,6.3,0,4.5,4.5,23
Nico O'Reilly,a,100.0,100.0,4.9,0,0.2,0.2,23
Ilkay Gündogan,a,,,6.4,2,1.8,1.8,23
Jahmai Simpson-Pusey,a,100.0,100.0,4.0,0,0.0,0.0,23
Divin Mubama,a,,,4.5,0,0.2,0.2,23
Abdukodir Khusanov,a,,,5.0,0,2.4,2.4,23
Vitor de Oliveira Nunes dos Reis,a,,,4.5,0,2.1,2.6,22
Vitor de Oliveira Nunes dos Reis,a,,,4.5,0,2.1,2.1,23
Pep Guardiola,a,,,1.5,9,4.0,4.0,23
Omar Marmoush,a,,,7.0,2,2.3,2.3,23
Amad Diallo,a,100.0,100.0,5.6,3,8.5,8.5,23
Antony Matheus dos Santos,u,0.0,100.0,5.7,0,0.0,0.5,23
Bruno Borges Fernandes,a,100.0,100.0,8.3,3,5.5,5.5,23
Carlos Henrique Casimiro,a,100.0,100.0,4.7,0,0.0,0.0,23
Diogo Dalot Teixeira,a,100.0,100.0,5.0,7,2.0,2.0,23
Christian Eriksen,a,100.0,100.0,5.2,0,1.0,1.0,23
Jonny Evans,i,0.0,0.0,4.4,0,0.0,0.0,23
Alejandro Garnacho,a,100.0,100.0,5.9,3,2.0,2.0,23
Hannibal Mejbri,u,0.0,0.0,4.5,0,0.0,0.0,23
Tom Heaton,a,,,3.9,0,0.0,0.0,23
Rasmus Højlund,a,100.0,100.0,6.9,1,1.2,1.2,23
Victor Lindelöf,a,100.0,50.0,4.3,0,0.0,0.0,23
Harry Maguire,a,100.0,100.0,4.9,8,2.2,2.2,23
Kobbie Mainoo,a,100.0,100.0,5.2,1,1.5,1.5,23
Lisandro Martínez,a,100.0,100.0,4.4,15,5.8,5.8,23
Scott McTominay,u,0.0,0.0,4.9,0,0.0,0.0,23
Mason Mount,i,0.0,0.0,6.3,0,0.0,0.0,23
André Onana,a,,,5.0,6,3.0,3.0,23
Facundo Pellistri Rebollo,u,0.0,0.0,5.0,0,0.0,0.0,23
Marcus Rashford,a,100.0,100.0,6.6,0,0.0,0.0,23
Luke Shaw,d,25.0,0.0,4.9,0,0.0,0.0,23
Joshua Zirkzee,a,,,6.5,1,2.0,2.0,23
Leny Yoro,a,100.0,75.0,4.3,1,1.0,0.8,23
Ben Nelson,u,0.0,0.0,4.0,0,0.0,0.0,19
Matthijs de Ligt,a,100.0,75.0,4.9,1,1.0,0.8,23
Noussair Mazraoui,a,100.0,75.0,4.3,6,2.5,1.9,23
Manuel Ugarte,a,100.0,100.0,4.9,2,1.0,1.0,23
Jayce Fitzgerald,a,,,4.5,0,0.0,0.0,23
Godwill Kukonki,a,,,4.0,0,0.0,0.0,23
Alex Murphy,u,0.0,0.0,4.0,0,0.0,0.0,23
Miguel Almirón Rejala,a,,,5.4,1,1.0,1.5,23
Dan Burn,a,100.0,100.0,4.4,2,2.7,3.2,23
Martin Dúbravka,a,100.0,100.0,4.3,3,5.0,5.5,23
Anthony Gordon,a,100.0,100.0,7.7,5,6.3,6.8,23
Lewis Hall,a,,,5.1,2,4.0,4.5,23
Isaac Hayden,u,0.0,0.0,4.4,0,0.0,0.0,23
Alexander Isak,a,100.0,100.0,9.5,13,10.0,10.5,23
Jacob Murphy,a,100.0,100.0,5.1,6,4.5,5.0,23
Joelinton Cássio Apolinário de Lira,a,100.0,100.0,6.0,2,2.3,2.8,23
Lloyd Kelly,a,,,4.2,0,0.7,1.2,23
Emil Krafth,a,100.0,100.0,4.3,0,0.5,1.0,23
Garang Kuol,a,,,4.4,0,0.5,1.0,23
Jamaal Lascelles,i,0.0,0.0,4.5,0,0.0,0.0,23
Jamal Lewis,u,0.0,0.0,4.0,0,0.0,0.0,23
Tino Livramento,a,100.0,100.0,4.5,2,3.0,3.5,23
Sean Longstaff,a,,,4.5,1,1.0,1.5,23
Lewis Miley,a,100.0,100.0,5.0,1,1.0,1.5,23
Odysseas Vlachodimos,a,,,4.3,0,0.5,1.0,23
Nick Pope,a,100.0,75.0,4.9,0,0.5,0.8,23
John Ruddy,a,,,3.9,0,0.5,1.0,23
Fabian Schär,a,100.0,100.0,5.4,2,1.0,1.5,23
Matt Targett,a,100.0,100.0,4.0,0,0.5,1.0,23
