name,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,event_points,ep_next,ep_this,gw,position,team,xP,minutes,starts,total_points,value
Nathaniel Phillips,u,0.0,0.0,4.0,0,0.0,0.0,17,DEF,Liverpool,0.0,0,0,0,40
Jarell Quansah,a,100.0,100.0,3.9,0,1.5,1.0,17,DEF,Liverpool,0.9,0,0,0,39
Rhys Williams,u,0.0,0.0,4.0,0,0.0,0.0,17,DEF,Liverpool,0.0,0,0,0,40
Andrew Robertson,a,,,5.9,1,2.2,1.7,17,DEF,Liverpool,1.7,90,1,1,59
Dominik Szoboszlai,a,,,6.3,17,6.8,6.3,17,MID,Liverpool,7.1,90,1,17,63
Konstantinos Tsimikas,a,100.0,100.0,4.6,0,1.0,0.5,17,DEF,Liverpool,0.5,0,0,0,46
Virgil van Dijk,a,,,6.5,1,3.2,2.7,17,DEF,Liverpool,2.5,90,1,1,65
Federico Chiesa,a,100.0,100.0,6.8,0,1.0,0.5,17,MID,Liverpool,0.5,0,0,0,68
Vítezslav Jaros,a,,,4.0,0,1.0,0.5,17,GK,Liverpool,0.5,0,0,0,40
Harvey Davies,a,,,4.0,0,1.0,0.5,17,GK,Liverpool,0.5,0,0,0,40
Treymaurice Nyoni,a,,,4.5,0,1.0,0.5,17,MID,Liverpool,0.5,0,0,0,45
Amara Nallo,a,,,4.0,0,1.0,0.5,17,DEF,Liverpool,0.5,0,0,0,40
Manuel Akanji,a,100.0,100.0,5.3,1,0.9,0.9,17,DEF,Man City,0.7,90,1,1,53
Nathan Aké,a,100.0,0.0,5.3,0,1.9,0.0,17,DEF,Man City,0.0,0,0,0,53
Bernardo Veiga de Carvalho e Silva,a,,,6.3,2,4.3,4.3,17,MID,Man City,3.8,90,1,2,63
Oscar Bobb,i,0.0,0.0,4.7,0,0.0,0.0,17,MID,Man City,0.0,0,0,0,47
Scott Carson,a,,,4.0,0,0.5,0.5,17,GK,Man City,0.5,0,0,0,40
Kevin De Bruyne,a,100.0,100.0,9.5,0,5.1,5.1,17,MID,Man City,4.3,0,0,0,95
Jérémy Doku,a,100.0,100.0,6.2,1,4.3,4.3,17,MID,Man City,3.7,6,0,1,62
Ederson Santana de Moraes,d,50.0,50.0,5.4,0,0.3,0.3,17,GK,Man City,0.4,0,0,0,54
Phil Foden,a,100.0,100.0,9.1,9,2.9,2.9,17,MID,Man City,2.8,90,1,9,91
Jack Grealish,a,100.0,100.0,6.4,1,1.9,1.9,17,MID,Man City,1.8,90,1,1,64
Joško Gvardiol,a,100.0,100.0,6.0,0,3.3,3.3,17,DEF,Man City,2.8,90,1,0,61
Erling Haaland,a,100.0,100.0,14.8,2,4.1,4.1,17,FWD,Man City,3.8,90,1,2,149
Julián Álvarez,u,0.0,0.0,7.0,0,0.0,0.0,17,FWD,Man City,0.0,0,0,0,70
João Cavaco Cancelo,u,0.0,0.0,5.3,0,0.0,0.0,17,DEF,Man City,0.0,0,0,0,53
Rúben Gato Alves Dias,i,0.0,0.0,5.4,0,0.0,0.0,17,DEF,Man City,0.0,0,0,0,54
John Stones,d,50.0,100.0,5.3,1,0.3,0.7,17,DEF,Man City,0.7,45,1,1,53
Kyle Walker,a,100.0,100.0,5.2,1,1.3,1.3,17,DEF,Man City,1.2,45,0,1,52
Sávio 'Savinho' Moreira de Oliveira,a,100.0,100.0,6.4,1,1.7,1.7,17,MID,Man City,1.8,17,0,1,64
Nico O'Reilly,a,100.0,100.0,4.9,0,0.5,0.5,17,MID,Man City,0.5,0,0,0,49
Ilkay Gündogan,a,,,6.5,2,2.3,2.3,17,MID,Man City,2.3,72,1,2,65
Issa Kaboré,u,0.0,0.0,4.5,0,0.0,0.0,17,DEF,Man City,0.0,0,0,0,45
Jacob Wright,a,,,4.5,0,0.5,0.5,17,MID,Man City,0.5,0,0,0,45
Jahmai Simpson-Pusey,a,100.0,100.0,4.0,0,0.5,0.5,17,DEF,Man City,0.5,0,0,0,40
Josh Wilson-Esbrand,a,,,4.0,0,0.5,0.5,17,DEF,Man City,0.5,0,0,0,40
Divin Mubama,a,,,4.5,0,0.5,0.5,17,FWD,Man City,0.5,0,0,0,45
Amad Diallo,a,100.0,100.0,5.4,2,6.4,6.4,17,MID,Man Utd,6.7,90,1,2,53
Antony Matheus dos Santos,a,100.0,100.0,5.7,0,0.4,0.4,17,MID,Man Utd,0.3,0,0,0,57
Bruno Borges Fernandes,a,100.0,100.0,8.4,2,6.2,6.2,17,MID,Man Utd,5.5,90,1,2,84
Altay Bayindir,a,,,4.3,0,0.0,0.0,17,GK,Man Utd,0.0,0,0,0,43
Carlos Henrique Casimiro,a,100.0,100.0,4.8,0,0.6,0.6,17,MID,Man Utd,0.7,0,0,0,48
Diogo Dalot Teixeira,a,,,5.1,1,2.2,2.2,17,DEF,Man Utd,2.2,90,1,1,52
Christian Eriksen,a,100.0,100.0,5.3,0,0.0,0.0,17,MID,Man Utd,0.3,0,0,0,53
Jonny Evans,a,100.0,100.0,4.4,0,0.0,0.0,17,DEF,Man Utd,0.2,0,0,0,44
Alejandro Garnacho,a,100.0,100.0,6.1,1,1.4,1.4,17,MID,Man Utd,1.5,35,0,1,61
Hannibal Mejbri,u,0.0,0.0,4.5,0,0.0,0.0,17,MID,Man Utd,0.0,0,0,0,45
Tom Heaton,a,,,4.0,0,0.0,0.0,17,GK,Man Utd,0.0,0,0,0,40
Rasmus Højlund,a,100.0,100.0,6.9,1,2.4,2.4,17,FWD,Man Utd,2.2,36,0,1,69
Victor Lindelöf,d,25.0,25.0,4.3,0,0.1,0.1,17,DEF,Man Utd,0.1,0,0,0,43
Harry Maguire,a,100.0,100.0,4.9,1,1.0,1.0,17,DEF,Man Utd,0.8,90,1,1,49
Kobbie Mainoo,a,100.0,100.0,5.2,2,1.6,1.6,17,MID,Man Utd,1.3,90,1,2,52
Tyrell Malacia,a,100.0,100.0,4.4,1,0.2,0.2,17,DEF,Man Utd,0.2,45,1,1,44
Lisandro Martínez,a,100.0,100.0,4.4,1,2.6,2.6,17,DEF,Man Utd,2.2,90,1,1,44
Scott McTominay,u,0.0,0.0,4.9,0,0.0,0.0,17,MID,Man Utd,0.0,0,0,0,49
Mason Mount,i,0.0,0.0,6.3,0,0.0,0.0,17,MID,Man Utd,0.0,0,0,0,63
André Onana,a,,,5.2,1,2.4,2.4,17,GK,Man Utd,2.5,90,1,1,52
Facundo Pellistri Rebollo,u,0.0,0.0,5.0,0,0.0,0.0,17,MID,Man Utd,0.0,0,0,0,50
Marcus Rashford,a,,,6.7,0,3.2,3.2,17,MID,Man Utd,4.0,0,0,0,68
Luke Shaw,i,0.0,0.0,4.9,0,0.0,0.0,17,DEF,Man Utd,0.0,0,0,0,49
Joshua Zirkzee,a,,,6.6,1,3.4,3.4,17,FWD,Man Utd,3.0,53,1,1,66
Leny Yoro,a,100.0,100.0,4.3,0,0.6,0.6,17,DEF,Man Utd,0.5,45,0,0,43
Matthijs de Ligt,d,75.0,75.0,5.0,0,0.8,0.8,17,DEF,Man Utd,0.9,0,0,0,50
Noussair Mazraoui,a,100.0,100.0,4.6,1,1.2,1.2,17,DEF,Man Utd,1.3,90,1,1,46
Toby Collyer,a,,,4.5,0,0.0,0.0,17,MID,Man Utd,0.0,0,0,0,45
Ethan Wheatley,a,,,4.5,0,0.0,0.0,17,FWD,Man Utd,0.0,0,0,0,45
Manuel Ugarte,a,100.0,100.0,4.9,0,1.2,1.2,17,MID,Man Utd,1.2,54,1,0,49
